Producto,Precio Tienda,Precio Referencia,Similitud %,Diferencia €,MayorPrecio,Fecha
"APPLE IPHONE 16 PLUS 6.7"" 5G 256GB ROSA",1112.57,458.16,81,-654.41,Tienda Local,2026-04-15
"APPLE IPHONE 16 PLUS 6.7"" 5G 128GB AZUL",990.32,751.39,80,-238.93,Tienda Local,2026-04-15
"APPLE IPHONE 16 PLUS 6.7"" 5G 256GB AZUL",1123.75,751.39,83,-372.36,Tienda Local,2026-04-15
"APPLE IPHONE 17 6.3"" 5G 256GB LAVANDA",980.48,759.64,81,-220.84,Tienda Local,2026-04-15
"APPLE IPHONE 16 6.1"" 5G 128GB AZUL",878.86,640.52,80,-238.34,Tienda Local,2026-04-15
