Nombre,Precio,Valoracion,Tienda,Fecha
"Portátil HP AI 14-hc0000ns 14"" Intel Core Ultra 7 255U 16GB 1TB SSD IPS FHD Windows 11 Home Plata",799.0,,PcComponentes,2026-04-17
"Portátil Lenovo V15 G5 IRL 15.6"" Intel Core i5-13420H 16GB 512GB SSD UHD Graphics Windows 11 Home",567.18,"4,7/5",PcComponentes,2026-04-17
"Apple Macbook Air M4 10 Núcleos/16 GB/256 GB SSD/GPU 8 Núcleos/13.6"" Medianoche",929.0,"4,8/5",PcComponentes,2026-04-17
"Portátil Lenovo LOQ Essential 15IRX11 15.6"" Intel Core i5-13450HX 16GB 512GB SSD RTX 5050 FreeDOS",899.01,"4,5/5",PcComponentes,2026-04-17
"Portátil Lenovo Legion Pro 5i 16"" Intel Core Ultra 9 275HX 32GB 1TB SSD RTX 5070 Ti OLED 240Hz Negro RGB",2249.0,"4,7/5",PcComponentes,2026-04-17
"Apple MacBook Neo 13"" Apple A18 Pro 8GB 512GB SSD GPU 5 núcleos macOS Touch ID Plata",799.0,"4,8/5",PcComponentes,2026-04-17
"Lenovo IdeaPad Flex 5 14ABR8 14"" AMD Ryzen 7 5825U 16GB 512GB SSD Táctil Azul",749.0,,PcComponentes,2026-04-17
"HP Victus 15-fa2005ns 15.6"" Intel Core 7 240H 16GB 1TB SSD RTX 5060",1099.0,,PcComponentes,2026-04-17
"ASUS V16 V3607VM-RP010 Intel Core 7 240H/32GB/1TB SSD/RTX 5060/16""",1299.0,,PcComponentes,2026-04-17
"Portátil HP 250R G10 15.6"" Intel Core 5 120U 16GB 512GB SSD Intel Graphics FreeDOS",529.0,N/A,PcComponentes,2026-04-17
"Portátil HP Victus 15-fa2001ns 15.6"" Intel Core 5 210H 16GB 512GB SSD RTX 5050 8GB Azul",849.0,,PcComponentes,2026-04-17
"Portátil Dell Pro 15 Essential PV15250 15.6"" Intel Core i5 1334U 16GB 512GB SSD FHD Windows 11 Pro Fingerprint",674.3,,PcComponentes,2026-04-17
Portátil ASUS ExpertBook P1503CVA-S70671 15.6″ i5-13420H 16GB 512GB Gris WiFi 6 UHD Teclado ES,549.0,,PcComponentes,2026-04-17
"Portátil MSI Cyborg 15 B2RWGKG-422XES 15.6"" Intel Core 7 240H 32GB 1TB SSD RTX 5070 8GB RGB",1349.0,,PcComponentes,2026-04-17
